[2025-07-20 08:36:28,903] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:36:58,161] [INFO] [agent] Withdrawal 0x1111111111111111111111111111111111111111111111111111111111111111 confirmed
[2025-07-20 08:36:58,162] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,163] [WARN] [agent] WITHDRAWAL MODE IS ACTIVE - Normal voting disabled
[2025-07-20 08:36:58,163] [INFO] [agent] Starting withdrawal process
[2025-07-20 08:36:58,163] [INFO] [agent] Calculated withdrawals for 1 positions at 100% withdrawal rate
[2025-07-20 08:36:58,163] [INFO] [agent] Withdrawal process completed with 1 transactions
[2025-07-20 08:36:58,165] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,166] [INFO] [agent] WithdrawalService initialized
[2025-07-20 08:36:58,167] [WARN] [agent] EMERGENCY STOP TRIGGERED
[2025-07-20 08:36:58,167] [INFO] [agent] Emergency stop completed - all withdrawals halted
[2025-07-20 08:38:53,906] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,250] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,483] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,485] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,494] [INFO] [agent] KeyManager initialized
[2025-07-20 08:38:54,494] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,494] [INFO] [agent] VotingService initialized
[2025-07-20 08:38:54,494] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:38:54,497] [INFO] [agent] Account loaded from KeyManager (eoa_address=0x5b97673Fa56fe9Fc9FeBE9b2B43fa9C0cc81d608)
[2025-07-20 08:38:54,502] [INFO] [agent] KeyManager initialized
[2025-07-20 08:38:54,502] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,502] [INFO] [agent] VotingService initialized
[2025-07-20 08:38:54,504] [INFO] [agent] Account loaded from KeyManager (eoa_address=0x19E7E376E7C213B7E7e7e46cc70A5dD086DAff2A)
[2025-07-20 08:38:54,506] [INFO] [agent] KeyManager initialized
[2025-07-20 08:38:54,506] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,506] [INFO] [agent] VotingService initialized
[2025-07-20 08:38:54,506] [ERROR] [agent] Key file not found
[2025-07-20 08:38:54,507] [INFO] [agent] KeyManager initialized
[2025-07-20 08:38:54,507] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,507] [INFO] [agent] VotingService initialized
[2025-07-20 08:38:54,510] [INFO] [agent] KeyManager initialized
[2025-07-20 08:38:54,511] [INFO] [agent] Pearl logger initialized successfully
[2025-07-20 08:38:54,511] [INFO] [agent] VotingService initialized
[2025-07-20 08:38:54,511] [INFO] [agent] Private key loaded and cached
[2025-07-20 08:38:54,513] [INFO] [agent] Account loaded from KeyManager (eoa_address=0x6162FA353949766e8e5d811ace0e0c1a315bE0A2)
[2025-07-20 08:38:54,516] [INFO] [agent] Account loaded from KeyManager (eoa_address=0x6162FA353949766e8e5d811ace0e0c1a315bE0A2)
